stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
hust_full_sft,1,6,20,160,20,2.3655,2.3655,0.0,1.998e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,1,6,40,160,40,2.2585,2.2585,0.0,1.992e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,1,6,60,160,60,1.9477,1.9477,0.0,1.983e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,1,6,80,160,80,1.8102,1.8102,0.0,1.969e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,1,6,100,160,100,1.9746,1.9746,0.0,1.952e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,1,6,120,160,120,1.7399,1.7399,0.0,1.931e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,1,6,140,160,140,1.6283,1.6283,0.0,1.907e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,1,6,160,160,160,2.1187,2.1187,0.0,1.879e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,2,6,20,160,180,1.4818,1.4818,0.0,1.848e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,2,6,40,160,200,1.2672,1.2672,0.0,1.814e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,2,6,60,160,220,1.4776,1.4776,0.0,1.777e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,2,6,80,160,240,1.1763,1.1763,0.0,1.736e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,2,6,100,160,260,1.0682,1.0682,0.0,1.693e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,2,6,120,160,280,1.5207,1.5207,0.0,1.648e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,2,6,140,160,300,0.8582,0.8582,0.0,1.6e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,2,6,160,160,320,1.2496,1.2496,0.0,1.55e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,3,6,20,160,340,1.0464,1.0464,0.0,1.498e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,3,6,40,160,360,1.0832,1.0832,0.0,1.444e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,3,6,60,160,380,1.1817,1.1817,0.0,1.389e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,3,6,80,160,400,0.9076,0.9076,0.0,1.333e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,3,6,100,160,420,1.0209,1.0209,0.0,1.276e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,3,6,120,160,440,0.9239,0.9239,0.0,1.217e-05,experiments/logs/full_sft_hust_handbook.log
hust_full_sft,3,6,140,160,460,0.839,0.839,0.0,1.159e-05,experiments/logs/full_sft_hust_handbook.log
