stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
hust_lora,1,8,10,79,10,3.0951,3.0951,0.0,9.994e-05,experiments/logs/lora_hust_handbook.log
hust_lora,1,8,20,79,20,2.8678,2.8678,0.0,9.978e-05,experiments/logs/lora_hust_handbook.log
hust_lora,1,8,30,79,30,2.6931,2.6931,0.0,9.95e-05,experiments/logs/lora_hust_handbook.log
hust_lora,1,8,40,79,40,2.9433,2.9433,0.0,9.911e-05,experiments/logs/lora_hust_handbook.log
hust_lora,1,8,50,79,50,2.5621,2.5621,0.0,9.862e-05,experiments/logs/lora_hust_handbook.log
hust_lora,1,8,60,79,60,2.5545,2.5545,0.0,9.801e-05,experiments/logs/lora_hust_handbook.log
hust_lora,1,8,70,79,70,2.4398,2.4398,0.0,9.73e-05,experiments/logs/lora_hust_handbook.log
hust_lora,1,8,79,79,79,2.7855,2.7855,0.0,9.657e-05,experiments/logs/lora_hust_handbook.log
hust_lora,2,8,10,79,89,2.5088,2.5088,0.0,9.567e-05,experiments/logs/lora_hust_handbook.log
hust_lora,2,8,20,79,99,2.5445,2.5445,0.0,9.466e-05,experiments/logs/lora_hust_handbook.log
hust_lora,2,8,30,79,109,2.3313,2.3313,0.0,9.355e-05,experiments/logs/lora_hust_handbook.log
hust_lora,2,8,40,79,119,2.6955,2.6955,0.0,9.235e-05,experiments/logs/lora_hust_handbook.log
hust_lora,2,8,50,79,129,2.5145,2.5145,0.0,9.106e-05,experiments/logs/lora_hust_handbook.log
hust_lora,2,8,60,79,139,2.3877,2.3877,0.0,8.968e-05,experiments/logs/lora_hust_handbook.log
hust_lora,2,8,70,79,149,2.7223,2.7223,0.0,8.821e-05,experiments/logs/lora_hust_handbook.log
hust_lora,2,8,79,79,158,2.6979,2.6979,0.0,8.682e-05,experiments/logs/lora_hust_handbook.log
hust_lora,3,8,10,79,168,2.4829,2.4829,0.0,8.52e-05,experiments/logs/lora_hust_handbook.log
hust_lora,3,8,20,79,178,2.3078,2.3078,0.0,8.35e-05,experiments/logs/lora_hust_handbook.log
hust_lora,3,8,30,79,188,2.3507,2.3507,0.0,8.174e-05,experiments/logs/lora_hust_handbook.log
hust_lora,3,8,40,79,198,2.1455,2.1455,0.0,7.991e-05,experiments/logs/lora_hust_handbook.log
hust_lora,3,8,50,79,208,2.5496,2.5496,0.0,7.801e-05,experiments/logs/lora_hust_handbook.log
hust_lora,3,8,60,79,218,2.3671,2.3671,0.0,7.606e-05,experiments/logs/lora_hust_handbook.log
hust_lora,3,8,70,79,228,2.506,2.506,0.0,7.406e-05,experiments/logs/lora_hust_handbook.log
hust_lora,3,8,79,79,237,2.5157,2.5157,0.0,7.222e-05,experiments/logs/lora_hust_handbook.log
hust_lora,4,8,10,79,247,2.4985,2.4985,0.0,7.013e-05,experiments/logs/lora_hust_handbook.log
hust_lora,4,8,20,79,257,2.3084,2.3084,0.0,6.801e-05,experiments/logs/lora_hust_handbook.log
hust_lora,4,8,30,79,267,2.4131,2.4131,0.0,6.585e-05,experiments/logs/lora_hust_handbook.log
hust_lora,4,8,40,79,277,2.4733,2.4733,0.0,6.367e-05,experiments/logs/lora_hust_handbook.log
hust_lora,4,8,50,79,287,2.3834,2.3834,0.0,6.146e-05,experiments/logs/lora_hust_handbook.log
hust_lora,4,8,60,79,297,2.5716,2.5716,0.0,5.924e-05,experiments/logs/lora_hust_handbook.log
hust_lora,4,8,70,79,307,2.6114,2.6114,0.0,5.701e-05,experiments/logs/lora_hust_handbook.log
hust_lora,4,8,79,79,316,2.4101,2.4101,0.0,5.5e-05,experiments/logs/lora_hust_handbook.log
hust_lora,5,8,10,79,326,2.3926,2.3926,0.0,5.276e-05,experiments/logs/lora_hust_handbook.log
hust_lora,5,8,20,79,336,2.5123,2.5123,0.0,5.053e-05,experiments/logs/lora_hust_handbook.log
hust_lora,5,8,30,79,346,2.333,2.333,0.0,4.831e-05,experiments/logs/lora_hust_handbook.log
hust_lora,5,8,40,79,356,2.3469,2.3469,0.0,4.611e-05,experiments/logs/lora_hust_handbook.log
hust_lora,5,8,50,79,366,2.3382,2.3382,0.0,4.393e-05,experiments/logs/lora_hust_handbook.log
hust_lora,5,8,60,79,376,2.4416,2.4416,0.0,4.178e-05,experiments/logs/lora_hust_handbook.log
hust_lora,5,8,70,79,386,2.1318,2.1318,0.0,3.966e-05,experiments/logs/lora_hust_handbook.log
hust_lora,5,8,79,79,395,2.1546,2.1546,0.0,3.778e-05,experiments/logs/lora_hust_handbook.log
hust_lora,6,8,10,79,405,2.3703,2.3703,0.0,3.573e-05,experiments/logs/lora_hust_handbook.log
hust_lora,6,8,20,79,415,2.3526,2.3526,0.0,3.374e-05,experiments/logs/lora_hust_handbook.log
hust_lora,6,8,30,79,425,2.4613,2.4613,0.0,3.179e-05,experiments/logs/lora_hust_handbook.log
hust_lora,6,8,40,79,435,2.3747,2.3747,0.0,2.991e-05,experiments/logs/lora_hust_handbook.log
hust_lora,6,8,50,79,445,2.4533,2.4533,0.0,2.808e-05,experiments/logs/lora_hust_handbook.log
hust_lora,6,8,60,79,455,2.315,2.315,0.0,2.632e-05,experiments/logs/lora_hust_handbook.log
hust_lora,6,8,70,79,465,2.5588,2.5588,0.0,2.464e-05,experiments/logs/lora_hust_handbook.log
hust_lora,6,8,79,79,474,2.0576,2.0576,0.0,2.318e-05,experiments/logs/lora_hust_handbook.log
hust_lora,7,8,10,79,484,2.4151,2.4151,0.0,2.164e-05,experiments/logs/lora_hust_handbook.log
hust_lora,7,8,20,79,494,2.601,2.601,0.0,2.018e-05,experiments/logs/lora_hust_handbook.log
hust_lora,7,8,30,79,504,2.3392,2.3392,0.0,1.881e-05,experiments/logs/lora_hust_handbook.log
hust_lora,7,8,40,79,514,2.2666,2.2666,0.0,1.752e-05,experiments/logs/lora_hust_handbook.log
hust_lora,7,8,50,79,524,2.2855,2.2855,0.0,1.633e-05,experiments/logs/lora_hust_handbook.log
hust_lora,7,8,60,79,534,2.2724,2.2724,0.0,1.523e-05,experiments/logs/lora_hust_handbook.log
hust_lora,7,8,70,79,544,2.2304,2.2304,0.0,1.424e-05,experiments/logs/lora_hust_handbook.log
hust_lora,7,8,79,79,553,2.3416,2.3416,0.0,1.343e-05,experiments/logs/lora_hust_handbook.log
hust_lora,8,8,10,79,563,2.3442,2.3442,0.0,1.262e-05,experiments/logs/lora_hust_handbook.log
hust_lora,8,8,20,79,573,2.3745,2.3745,0.0,1.192e-05,experiments/logs/lora_hust_handbook.log
hust_lora,8,8,30,79,583,2.3778,2.3778,0.0,1.133e-05,experiments/logs/lora_hust_handbook.log
hust_lora,8,8,40,79,593,2.1822,2.1822,0.0,1.084e-05,experiments/logs/lora_hust_handbook.log
hust_lora,8,8,50,79,603,2.4853,2.4853,0.0,1.047e-05,experiments/logs/lora_hust_handbook.log
hust_lora,8,8,60,79,613,2.3552,2.3552,0.0,1.02e-05,experiments/logs/lora_hust_handbook.log
hust_lora,8,8,70,79,623,2.4905,2.4905,0.0,1.005e-05,experiments/logs/lora_hust_handbook.log
hust_lora,8,8,79,79,632,2.5231,2.5231,0.0,1e-05,experiments/logs/lora_hust_handbook.log
