stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
hust_qa_sft,1,8,20,80,20,0.6802,0.6802,0.0,1.996e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,1,8,40,80,40,0.0244,0.0244,0.0,1.983e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,1,8,60,80,60,0.0108,0.0108,0.0,1.961e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,1,8,80,80,80,0.004,0.004,0.0,1.931e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,2,8,20,80,100,0.0046,0.0046,0.0,1.894e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,2,8,40,80,120,0.0115,0.0115,0.0,1.848e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,2,8,60,80,140,0.0048,0.0048,0.0,1.796e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,2,8,80,80,160,0.0065,0.0065,0.0,1.736e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,3,8,20,80,180,0.0054,0.0054,0.0,1.671e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,3,8,40,80,200,0.0041,0.0041,0.0,1.6e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,3,8,60,80,220,0.0043,0.0043,0.0,1.524e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,3,8,80,80,240,0.0068,0.0068,0.0,1.444e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,4,8,20,80,260,0.0065,0.0065,0.0,1.361e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,4,8,40,80,280,0.0094,0.0094,0.0,1.276e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,4,8,60,80,300,0.0052,0.0052,0.0,1.188e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,4,8,80,80,320,0.0081,0.0081,0.0,1.1e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,5,8,20,80,340,0.0048,0.0048,0.0,1.012e-05,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,5,8,40,80,360,0.0056,0.0056,0.0,9.24e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,5,8,60,80,380,0.0037,0.0037,0.0,8.39e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,5,8,80,80,400,0.0034,0.0034,0.0,7.56e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,6,8,20,80,420,0.0032,0.0032,0.0,6.76e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,6,8,40,80,440,0.0053,0.0053,0.0,6e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,6,8,60,80,460,0.0069,0.0069,0.0,5.29e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,6,8,80,80,480,0.0049,0.0049,0.0,4.64e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,7,8,20,80,500,0.0055,0.0055,0.0,4.04e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,7,8,40,80,520,0.0047,0.0047,0.0,3.52e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,7,8,60,80,540,0.0018,0.0018,0.0,3.06e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,7,8,80,80,560,0.0023,0.0023,0.0,2.69e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,8,8,20,80,580,0.0047,0.0047,0.0,2.39e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,8,8,40,80,600,0.0047,0.0047,0.0,2.17e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,8,8,60,80,620,0.0045,0.0045,0.0,2.04e-06,experiments/logs/full_sft_hust_qa.log
hust_qa_sft,8,8,80,80,640,0.007,0.007,0.0,2e-06,experiments/logs/full_sft_hust_qa.log
