stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
pretrain,1,2,50,39695,50,7.3648,7.3648,0.0,0.0005,experiments/logs/pretrain_mini.log
pretrain,1,2,100,39695,100,7.3295,7.3295,0.0,0.0005,experiments/logs/pretrain_mini.log
pretrain,1,2,150,39695,150,7.4326,7.4326,0.0,0.0005,experiments/logs/pretrain_mini.log
pretrain,1,2,200,39695,200,7.4796,7.4796,0.0,0.00049999,experiments/logs/pretrain_mini.log
pretrain,1,2,250,39695,250,6.5647,6.5647,0.0,0.00049999,experiments/logs/pretrain_mini.log
pretrain,1,2,300,39695,300,6.6488,6.6488,0.0,0.00049998,experiments/logs/pretrain_mini.log
pretrain,1,2,350,39695,350,6.4372,6.4372,0.0,0.00049998,experiments/logs/pretrain_mini.log
pretrain,1,2,400,39695,400,6.5459,6.5459,0.0,0.00049997,experiments/logs/pretrain_mini.log
pretrain,1,2,450,39695,450,6.1951,6.1951,0.0,0.00049996,experiments/logs/pretrain_mini.log
pretrain,1,2,500,39695,500,6.2994,6.2994,0.0,0.00049996,experiments/logs/pretrain_mini.log
pretrain,1,2,550,39695,550,5.6636,5.6636,0.0,0.00049995,experiments/logs/pretrain_mini.log
pretrain,1,2,600,39695,600,6.0057,6.0057,0.0,0.00049994,experiments/logs/pretrain_mini.log
pretrain,1,2,650,39695,650,5.9351,5.9351,0.0,0.00049993,experiments/logs/pretrain_mini.log
pretrain,1,2,700,39695,700,6.0328,6.0328,0.0,0.00049991,experiments/logs/pretrain_mini.log
pretrain,1,2,750,39695,750,5.6629,5.6629,0.0,0.0004999,experiments/logs/pretrain_mini.log
pretrain,1,2,800,39695,800,5.5682,5.5682,0.0,0.00049989,experiments/logs/pretrain_mini.log
pretrain,1,2,850,39695,850,5.6528,5.6528,0.0,0.00049987,experiments/logs/pretrain_mini.log
pretrain,1,2,900,39695,900,5.5028,5.5028,0.0,0.00049986,experiments/logs/pretrain_mini.log
pretrain,1,2,950,39695,950,5.4982,5.4982,0.0,0.00049984,experiments/logs/pretrain_mini.log
pretrain,1,2,1000,39695,1000,5.4007,5.4007,0.0,0.00049982,experiments/logs/pretrain_mini.log
pretrain,1,2,1050,39695,1050,4.7421,4.7421,0.0,0.00049981,experiments/logs/pretrain_mini.log
pretrain,1,2,1100,39695,1100,5.0543,5.0543,0.0,0.00049979,experiments/logs/pretrain_mini.log
pretrain,1,2,1150,39695,1150,4.5125,4.5125,0.0,0.00049977,experiments/logs/pretrain_mini.log
pretrain,1,2,1200,39695,1200,4.7593,4.7593,0.0,0.00049975,experiments/logs/pretrain_mini.log
pretrain,1,2,1250,39695,1250,4.4562,4.4562,0.0,0.00049972,experiments/logs/pretrain_mini.log
pretrain,1,2,1300,39695,1300,4.1451,4.1451,0.0,0.0004997,experiments/logs/pretrain_mini.log
pretrain,1,2,1350,39695,1350,4.3326,4.3326,0.0,0.00049968,experiments/logs/pretrain_mini.log
pretrain,1,2,1400,39695,1400,4.109,4.109,0.0,0.00049965,experiments/logs/pretrain_mini.log
pretrain,1,2,1450,39695,1450,3.923,3.923,0.0,0.00049963,experiments/logs/pretrain_mini.log
pretrain,1,2,1500,39695,1500,4.27,4.27,0.0,0.0004996,experiments/logs/pretrain_mini.log
pretrain,1,2,1550,39695,1550,4.2877,4.2877,0.0,0.00049958,experiments/logs/pretrain_mini.log
pretrain,1,2,1600,39695,1600,4.2017,4.2017,0.0,0.00049955,experiments/logs/pretrain_mini.log
pretrain,1,2,1650,39695,1650,4.5501,4.5501,0.0,0.00049952,experiments/logs/pretrain_mini.log
