stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
sft,1,2,50,56608,50,2.8538,2.8538,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,100,56608,100,2.1409,2.1409,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,150,56608,150,1.7604,1.7604,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,200,56608,200,1.7297,1.7297,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,250,56608,250,1.824,1.824,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,300,56608,300,1.6918,1.6918,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,350,56608,350,2.0812,2.0812,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,400,56608,400,2.0108,2.0108,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,450,56608,450,1.9165,1.9165,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,500,56608,500,1.6996,1.6996,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,550,56608,550,1.7326,1.7326,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,600,56608,600,1.8625,1.8625,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,650,56608,650,1.8537,1.8537,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,700,56608,700,2.1159,2.1159,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,750,56608,750,1.6332,1.6332,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,800,56608,800,1.4069,1.4069,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,850,56608,850,1.4974,1.4974,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,900,56608,900,1.6128,1.6128,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,950,56608,950,1.7841,1.7841,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,1000,56608,1000,1.4602,1.4602,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,1050,56608,1050,1.7679,1.7679,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,1100,56608,1100,1.8746,1.8746,0.0,1e-05,experiments/logs/full_sft_mini.log
sft,1,2,1150,56608,1150,1.5334,1.5334,0.0,1e-05,experiments/logs/full_sft_mini.log
